Tiro N,Color,Coordenada X,Coordenada Y,Valor Pixel
1,No blanco,164,131,162
2,Blanco,22,12,255
3,Blanco,202,179,255
4,Blanco,147,21,255
5,Blanco,130,5,255
6,Blanco,161,197,255
7,Blanco,71,56,255
8,No blanco,126,149,162
9,Blanco,115,43,255
10,Blanco,208,114,255
11,Blanco,202,38,255
12,Blanco,40,97,255
13,Blanco,88,220,255
14,No blanco,103,47,162
15,Blanco,86,207,255
16,Blanco,48,192,255
17,Blanco,183,219,255
18,Blanco,59,183,255
19,Blanco,80,51,255
20,Blanco,57,0,255
21,Blanco,59,190,255
22,Blanco,197,88,255
23,Blanco,152,11,255
24,No blanco,108,77,162
25,Blanco,47,79,255
26,Blanco,128,205,255
27,Blanco,77,213,255
28,Blanco,25,53,255
29,Blanco,87,15,255
30,Blanco,209,14,255
31,Blanco,127,34,255
32,Blanco,184,211,255
33,No blanco,103,101,162
34,No blanco,140,128,162
35,Blanco,103,198,255
36,Blanco,32,69,255
37,No blanco,140,130,162
38,Blanco,80,92,255
39,No blanco,121,118,162
40,Blanco,116,47,254
41,No blanco,63,143,185
42,No blanco,73,120,162
43,No blanco,160,145,162
44,No blanco,184,55,162
45,Blanco,195,11,255
46,Blanco,8,178,255
47,Blanco,3,141,255
48,Blanco,205,62,255
49,No blanco,156,122,162
50,Blanco,119,210,255
51,Blanco,19,2,255
52,No blanco,136,88,162
53,Blanco,138,10,255
54,Blanco,55,66,255
55,Blanco,114,199,255
56,Blanco,128,32,255
57,No blanco,149,171,162
58,No blanco,119,150,162
59,Blanco,185,90,255
60,No blanco,183,57,162
61,Blanco,12,1,255
62,Blanco,25,6,255
63,Blanco,84,13,255
64,No blanco,68,108,162
65,Blanco,218,189,255
66,Blanco,64,76,255
67,No blanco,44,125,162
68,Blanco,186,73,231
69,Blanco,28,14,255
70,Blanco,18,131,255
71,No blanco,78,132,162
72,Blanco,70,161,255
73,No blanco,101,131,162
74,No blanco,144,77,162
75,No blanco,71,129,162
76,Blanco,206,195,255
77,Blanco,55,51,255
78,No blanco,179,109,162
79,Blanco,213,22,255
80,Blanco,114,33,255
81,No blanco,133,67,162
82,Blanco,88,28,255
83,Blanco,208,126,255
84,No blanco,137,157,162
85,Blanco,187,169,255
86,Blanco,35,58,255
87,Blanco,19,180,255
